"","cand_A","cand_B"
"58799",8,2
"58801",7,2
"58802",2,7
"58803",3,7
"58804",6,0
"58805",5,0
"58806",5,6
"58807",2,9
"58808",5,5
"58809",6,6
"58810",9,3
"58811",3,8
"58812",2,8
"58813",5,5
"58814",2,8
"58815",2,8
"58816",0,6
"58817",0,8
"58818",8,8
"58819",7,6
"58820",8,8
"58821",0,6
"58822",0,6
"58824",5,5
"58825",10,0
"58826",0,8
"58827",0,10
"58828",5,5
"58829",0,10
"58830",6,10
"58831",0,0
"58832",9,2
"58833",5,5
"58834",5,5
"58835",5,5
"58836",5,3
"58837",8,3
"58838",8,5
"58839",2,5
"58840",7,2
"58841",3,7
"58842",0,3
"58844",3,7
"58845",6,2
"58846",1,1
"58847",5,9
"58848",0,10
"58849",1,8
"58850",9,3
"58851",2,6
"58852",9,0
"58853",3,10
"58854",5,5
"58855",0,10
"58856",7,1
"58857",6,2
"58858",5,6
"58859",8,5
"58860",7,5
"58861",3,8
"58862",2,9
"58863",0,6
"58864",4,4
"58865",5,0
"58866",7,3
"58867",10,2
"58868",8,2
"58869",7,4
"58870",10,2
"58871",3,3
"58872",8,5
"58873",5,7
"58875",1,8
"58876",0,6
"58877",7,1
"58878",10,0
"58880",0,0
"58881",1,7
"58882",0,5
"58883",6,6
"58884",0,9
"58885",10,7
"58886",5,3
"58887",2,7
"58888",7,6
"58889",7,4
"58890",5,5
"58891",5,5
"58892",0,10
"58893",5,3
"58895",7,7
"58896",10,2
"58897",3,8
"58899",7,3
"58900",8,3
"58901",5,5
"58902",8,2
"58903",0,10
"58904",4,8
"58905",0,5
"58906",0,6
"58907",7,1
"58908",5,5
"58909",1,9
"58910",7,0
"58911",10,0
"58912",8,2
"58913",10,0
"58915",7,4
"58916",5,0
"58917",10,0
"58918",3,4
"58919",0,2
"58920",5,5
"58921",0,6
"58922",7,0
"58923",5,5
"58924",10,5
"58925",1,7
"58926",4,7
"58927",3,8
"58928",3,6
"58929",4,7
"58930",5,5
"58931",0,7
"58932",9,0
"58933",6,4
"58935",9,5
"58936",2,8
"58937",8,2
"58938",2,10
"58939",0,0
"58940",10,0
"58941",5,4
"58942",6,6
"58943",1,8
"58944",3,8
"58945",4,7
"58946",4,4
"58947",8,3
"58949",4,4
"58950",7,6
"58951",5,5
"58952",2,9
"58953",5,4
"58954",5,3
"58955",1,9
"58956",3,8
"58957",7,4
"58958",9,5
"58959",8,0
"58960",10,2
"58961",8,0
"58962",6,6
"58963",5,4
"58964",3,8
"58965",4,6
"58966",3,7
"58967",6,4
"58968",0,1
"58969",5,5
"58970",8,4
"58971",5,9
"58972",7,5
"58973",4,4
"58974",1,10
"58975",4,6
"58976",10,0
"58977",0,8
"58978",2,8
"58979",3,7
"58980",3,10
"58981",7,3
"58982",0,7
"58983",8,1
"58984",3,8
"58985",10,2
"58987",2,9
"58988",0,10
"58989",0,8
"58990",3,6
"58991",5,7
"58992",9,2
"58993",8,6
"58994",3,8
"58995",0,10
"58996",2,9
"58997",8,2
"58998",7,6
"58999",10,10
"59000",4,9
"59001",4,6
"59002",0,10
"59003",5,3
"59004",9,1
"59005",3,1
"59006",8,0
"59007",0,6
"59008",3,8
