"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"10784",0,0,0,0,0,0,0,0,0
"10785",4,0,0,0,0,0,0,0,0
"10786",5,5,5,5,5,5,5,5,5
"10787",0,0,0,0,0,0,0,0,0
"10788",1,1,1,1,1,1,1,1,1
"10789",5,5,5,5,5,5,5,5,5
"10790",3,0,3,0,2,9,0,5,5
"10791",0,0,0,0,0,0,0,0,0
"10793",0,0,0,0,0,0,0,0,0
"10794",0,0,0,0,0,0,0,0,0
"10795",2,2,7,5,5,5,7,4,3
"10796",0,0,0,0,0,0,0,0,0
"10797",0,0,0,0,0,6,7,0,0
"10798",8,8,8,4,4,5,3,6,3
"10799",0,0,0,0,0,0,0,0,0
"10800",1,1,1,1,1,1,1,1,1
"10801",7,4,4,4,4,4,4,4,4
"10802",5,8,5,5,5,5,5,5,5
"10803",3,2,2,2,3,2,2,2,3
"10804",10,10,7,4,5,4,1,10,0
"10805",5,5,5,5,5,5,5,5,5
"10806",5,5,5,5,5,5,5,5,5
"10807",2,2,2,2,2,2,2,0,2
"10808",0,0,0,0,0,0,0,0,0
"10809",10,8,5,4,4,3,3,8,3
"10810",1,1,1,1,1,1,1,1,1
"10811",2,3,9,5,6,4,4,1,4
"10812",1,1,10,6,5,5,10,1,5
"10813",4,3,5,9,5,5,5,2,5
"10814",0,0,10,0,1,1,0,0,0
"10815",7,4,3,2,3,4,1,3,3
"10816",5,8,5,7,6,7,8,8,8
"10817",3,3,7,3,5,2,1,4,1
"10818",1,2,5,2,2,1,2,0,2
"10819",2,1,2,2,2,3,3,2,3
"10820",7,7,5,4,4,3,3,8,7
"10821",5,0,5,0,0,0,0,0,0
"10822",3,0,0,0,0,0,0,0,0
"10823",0,0,4,8,6,3,5,2,8
"10824",0,0,0,0,0,0,0,0,0
"10825",6,8,3,0,0,0,0,10,0
"10827",0,0,0,0,0,0,0,0,0
"10828",5,5,4,5,5,5,5,5,5
"10829",8,8,3,3,3,3,3,7,3
"10830",6,6,4,5,5,5,3,4,3
"10833",0,0,0,0,0,0,0,0,0
"10835",1,1,1,1,1,1,1,1,1
"10836",0,0,0,0,0,0,0,0,0
"10839",0,0,9,1,3,2,1,0,1
"10840",0,1,1,7,6,7,6,0,6
"10841",1,1,1,1,1,1,1,1,1
"10843",1,1,6,6,5,7,7,1,7
"10844",6,1,7,2,2,2,2,3,2
"10845",0,5,4,1,0,0,2,0,0
"10846",1,1,6,3,1,3,5,1,5
"10847",0,0,0,0,0,0,0,0,0
"10848",0,0,0,0,0,0,0,0,0
"10849",1,0,5,2,2,4,5,1,6
"10850",0,0,0,0,0,0,0,0,0
"10851",3,3,5,4,4,6,6,1,3
"10852",7,6,0,0,0,0,0,5,3
"10853",0,0,0,0,0,0,0,0,0
"10854",0,0,0,0,0,0,0,0,0
"10855",0,0,0,0,0,0,0,0,0
"10856",0,0,0,0,0,0,0,0,0
"10857",0,0,0,0,0,0,0,0,0
"10858",0,0,0,0,0,0,0,0,0
"10859",0,0,0,0,0,0,0,0,0
"10860",7,0,2,1,0,2,1,1,2
"10861",6,0,0,0,0,0,0,0,0
"10862",6,1,1,1,3,0,0,0,1
"10863",7,2,1,2,0,1,0,0,0
"10864",3,1,2,1,2,3,1,0,3
"10865",0,2,1,2,2,4,4,2,6
"10866",7,0,0,0,0,0,0,0,0
"10867",3,3,3,3,3,3,3,1,3
"10869",0,0,0,0,0,0,0,0,0
"10870",4,3,3,4,4,4,3,1,3
"10871",8,7,7,5,5,4,2,6,6
"10872",0,0,0,0,0,0,0,0,0
"10873",10,10,6,4,4,4,1,8,2
"10874",10,8,7,3,5,3,1,6,2
"10875",0,0,0,0,0,0,0,0,0
"10876",6,2,2,2,2,2,2,2,2
"10877",0,0,0,0,0,0,0,0,0
"10878",10,3,3,3,3,3,3,3,3
"10879",0,0,0,0,0,0,0,0,0
"10880",0,0,0,0,0,0,0,0,0
"10881",0,0,0,0,0,0,0,0,0
"10882",1,0,2,2,2,1,2,2,2
"10883",7,8,6,3,5,2,1,7,1
"10884",8,6,6,0,0,0,0,9,0
"10885",0,0,0,0,0,0,0,0,0
"10886",0,0,2,2,1,3,3,1,5
"10887",0,0,0,0,0,0,0,0,0
"10888",4,4,4,4,4,4,4,4,4
"10889",0,0,0,0,0,0,0,0,0
"10890",0,0,0,0,0,0,0,0,0
"10891",10,10,0,0,0,0,0,10,0
"10892",2,2,2,4,4,4,0,2,2
"10893",1,1,0,0,0,0,0,1,1
"10895",5,5,6,3,4,1,1,4,3
"10896",10,2,0,0,0,0,0,0,0
"10898",0,0,0,0,0,0,0,0,0
"10899",0,0,6,6,6,6,6,2,6
"10901",1,2,3,4,2,3,1,1,2
"10902",10,5,0,0,0,0,0,0,0
"10903",0,0,0,0,0,0,0,0,0
"10904",0,0,0,0,0,0,0,0,0
"10905",1,3,0,0,1,0,0,4,3
"10906",2,1,7,5,5,7,8,3,4
"10907",0,0,3,2,3,5,7,0,5
"10908",2,0,0,5,4,4,9,1,5
"10909",0,0,0,0,0,0,0,0,0
"10910",1,0,2,7,4,7,9,0,6
"10911",4,0,0,2,1,1,1,1,2
"10912",0,0,0,0,0,0,0,0,0
"10913",0,4,0,0,0,0,5,0,0
"10914",0,0,0,0,0,0,0,0,0
"10915",0,0,0,0,0,0,0,0,0
"10916",0,0,0,0,0,0,0,0,0
"10917",0,0,0,0,0,0,0,0,0
"10919",0,0,0,0,0,0,0,0,0
"10920",0,0,0,0,0,0,0,0,0
"10922",0,0,0,1,0,0,0,0,0
"10923",6,1,2,3,1,1,2,1,2
"10924",5,0,0,0,0,0,0,0,0
"10925",0,0,0,0,0,0,0,0,0
"10926",0,0,0,0,0,0,0,0,0
"10927",6,1,2,1,3,0,2,1,0
"10928",0,0,0,0,0,0,0,0,0
