"","cand_A","cand_B","cand_C","cand_D","cand_E"
"23661",9,5,0,2,1
"23662",4,7,6,4,2
"23663",0,0,10,1,7
"23664",9,5,0,0,0
"23665",1,2,4,5,9
"23666",1,2,4,5,9
"23667",3,0,0,5,0
"23668",0,0,5,0,3
"23669",6,6,1,1,1
"23671",0,10,7,5,5
"23672",4,4,4,4,4
"23674",6,3,3,4,3
"23675",10,0,0,0,0
"23676",3,8,0,2,1
"23677",0,7,2,5,6
"23678",7,1,4,1,2
"23679",10,0,0,0,0
"23680",6,4,2,1,1
"23681",1,3,1,5,1
"23682",0,2,2,10,2
"23683",0,6,0,0,0
"23684",10,0,1,7,1
"23685",0,10,0,3,0
"23686",0,0,0,0,0
"23687",5,1,1,2,2
"23688",0,4,3,2,10
"23689",4,8,6,5,6
"23690",4,9,0,0,0
"23691",0,4,3,2,10
"23692",3,4,5,2,6
"23693",10,2,6,5,5
"23694",5,5,2,3,0
"23695",0,0,0,0,0
"23696",1,1,1,1,8
"23698",5,5,5,5,5
"23699",0,10,1,1,1
"23700",2,4,4,9,5
"23701",7,0,0,0,0
"23702",9,0,2,1,2
"23703",7,3,2,2,2
"23704",4,0,1,0,3
"23705",8,4,4,8,8
"23706",5,4,4,3,3
"23707",0,0,8,3,3
"23708",5,5,5,5,5
"23710",1,10,1,1,1
"23711",10,1,3,2,2
"23712",5,6,5,5,5
"23713",3,3,3,3,3
"23714",0,1,10,3,5
"23715",0,3,10,1,6
"23716",0,0,5,5,10
"23717",8,5,6,4,4
"23718",1,1,1,3,1
"23719",0,7,2,1,4
"23721",5,5,5,5,5
"23722",8,8,1,4,1
"23723",0,0,6,0,7
"23724",9,0,10,3,3
"23725",9,0,10,3,3
"23726",0,1,10,5,5
"23727",9,0,10,3,3
"23728",10,0,0,0,0
"23731",2,3,2,3,0
"23732",1,6,2,6,5
"23733",1,1,0,0,0
"23735",0,2,0,0,0
"23736",3,6,4,6,5
"23737",7,3,3,5,2
"23738",5,2,2,0,1
"23739",0,0,0,0,0
"23740",8,6,3,4,0
"23741",5,5,5,5,5
"23742",0,0,0,0,0
"23743",8,0,2,2,2
"23745",0,1,6,7,7
"23746",0,10,8,7,8
"23747",10,4,0,0,0
"23748",7,5,2,1,1
"23749",3,6,5,4,2
"23750",0,0,0,0,0
"23751",0,4,1,0,0
"23752",4,2,0,0,0
"23754",10,0,0,0,0
"23755",0,3,8,5,4
"23756",0,3,9,6,8
"23757",10,0,0,0,0
"23758",6,0,0,1,1
"23759",8,2,2,2,2
"23760",9,6,0,4,0
"23761",0,0,8,0,10
"23762",0,0,0,0,0
"23763",8,6,2,2,3
"23764",1,0,7,4,5
"23765",0,2,3,3,5
"23766",0,0,6,5,10
"23768",5,0,0,0,5
"23769",0,0,0,0,0
"23770",2,7,6,7,6
"23771",4,7,3,3,2
"23772",0,10,5,5,5
"23773",7,10,1,3,1
"23775",0,0,0,0,0
"23776",0,0,9,0,0
"23777",6,8,2,3,1
"23778",0,5,5,5,5
"23779",1,2,1,2,5
"23780",1,6,3,0,3
"23781",9,2,4,3,3
"23782",10,0,0,6,0
"23783",7,2,5,3,0
"23784",6,5,3,4,4
"23785",5,2,1,2,1
"23786",10,0,0,0,0
"23788",0,8,2,0,5
"23789",0,0,3,5,7
"23790",5,5,5,5,5
"23791",4,3,2,3,3
"23792",5,1,10,5,4
"23794",6,10,2,8,2
"23795",2,2,2,2,2
"23796",10,2,2,2,2
"23798",10,0,0,0,0
"23799",10,4,2,4,3
"23800",0,5,6,3,6
"23801",4,3,3,3,3
"23802",0,0,6,7,8
"23803",5,5,5,5,5
"23804",3,4,8,8,7
"23805",2,4,7,8,4
"23806",10,0,2,0,1
"23807",7,3,0,0,0
"23808",0,4,2,2,2
"23809",0,4,8,4,4
"23810",7,0,0,0,0
"23811",0,8,5,3,3
"23814",9,2,0,3,3
"23815",0,0,0,0,0
"23816",0,5,4,5,5
"23817",10,0,0,0,0
"23818",10,0,0,0,0
"23821",5,7,3,4,4
"23822",1,1,1,1,1
"23823",7,4,0,0,0
"23824",9,7,2,5,2
"23825",5,4,5,5,5
"23826",2,0,3,5,3
"23827",5,5,5,3,0
"23828",3,7,0,0,0
"23829",8,2,2,2,1
"23830",8,7,4,5,2
"23831",10,0,1,2,1
"23832",3,5,4,5,3
"23833",10,0,0,0,0
"23835",1,8,2,4,2
"23836",0,10,0,0,0
"23838",6,6,4,2,1
"23839",0,8,1,1,1
"23840",6,6,5,4,4
"23841",8,3,2,3,0
"23842",0,0,0,0,0
"23843",0,0,3,3,7
"23844",0,5,5,5,10
"23845",9,0,0,0,0
"23846",10,3,5,2,5
"23847",8,3,3,3,3
"23848",5,3,3,1,0
"23849",10,2,3,3,4
"23850",1,1,5,10,5
"23851",2,3,4,6,5
"23852",5,9,5,5,5
"23854",1,5,2,1,2
"23856",0,4,0,0,0
"23858",0,3,0,0,0
"23859",0,0,0,0,0
"23860",4,2,3,6,3
"23861",4,2,4,3,4
"23862",8,2,2,6,3
