"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"21364",10,0,0,0,3,0,7,0
"21365",0,10,6,4,0,5,0,5
"21366",3,5,0,4,2,5,0,1
"21367",0,5,3,2,5,3,0,3
"21368",5,6,0,4,5,4,2,4
"21369",10,0,0,0,1,1,9,5
"21370",8,0,0,0,3,0,5,0
"21371",5,7,0,5,7,2,2,6
"21373",3,7,0,3,3,5,3,3
"21374",0,2,0,10,5,3,0,0
"21375",0,5,9,0,0,0,8,0
"21376",4,1,0,2,9,2,5,5
"21377",0,6,0,7,4,6,0,0
"21379",6,0,0,0,0,0,0,0
"21380",4,5,0,1,3,2,1,1
"21381",0,6,0,2,0,4,1,7
"21382",5,0,0,0,0,0,4,0
"21383",8,0,0,0,2,0,4,0
"21384",0,9,0,5,5,4,0,3
"21385",0,7,0,5,5,3,0,2
"21386",9,3,1,2,2,2,8,2
"21388",5,1,0,2,7,1,1,2
"21389",7,7,0,7,0,5,3,9
"21390",7,9,0,6,3,3,3,5
"21391",4,0,0,0,2,0,7,0
"21392",2,4,0,1,5,2,3,5
"21393",0,0,0,0,2,0,0,0
"21394",8,3,0,0,3,0,3,0
"21395",4,5,7,10,6,9,4,6
"21396",6,9,2,0,0,0,7,7
"21397",4,0,0,0,9,0,1,0
"21398",1,4,0,4,2,8,0,7
"21400",1,0,0,0,4,0,0,0
"21401",0,7,0,3,3,4,0,5
"21402",7,2,0,0,2,0,0,0
"21403",4,1,0,0,1,1,0,0
"21404",0,8,7,4,1,3,5,5
"21405",3,0,0,0,3,0,0,3
"21406",6,2,0,2,3,1,2,3
"21407",6,0,0,1,0,0,5,1
"21408",0,1,0,10,5,9,0,0
"21409",0,4,0,4,1,7,0,5
"21410",0,10,9,0,0,0,0,0
"21411",6,2,0,7,7,3,0,1
"21412",0,7,0,2,4,4,0,4
"21413",2,5,1,5,5,8,2,7
"21414",4,5,8,5,3,2,8,4
"21415",0,3,4,0,0,0,0,8
"21416",0,4,1,3,0,4,0,6
"21417",0,2,0,2,0,5,0,5
"21418",0,2,0,1,0,2,0,0
"21419",6,7,0,2,2,1,5,4
"21420",0,0,0,0,0,0,0,0
"21422",6,1,0,1,5,1,1,1
"21423",5,1,0,3,5,4,1,1
"21424",2,6,0,6,1,7,1,6
"21425",5,5,0,2,2,2,5,4
"21426",6,4,0,4,4,4,3,9
"21427",3,7,0,3,2,3,3,3
"21428",4,4,0,3,3,4,2,4
"21429",1,5,0,5,2,8,0,5
"21430",0,0,0,0,0,0,0,0
"21431",0,9,0,7,0,7,0,8
"21432",5,5,5,5,0,0,5,5
"21433",1,5,0,5,4,7,0,4
"21435",5,5,0,0,0,3,4,4
"21436",0,5,0,7,4,9,0,0
"21437",7,1,0,4,2,1,1,4
"21438",2,0,4,0,0,0,0,8
"21439",8,3,0,2,3,1,7,3
"21440",7,3,0,4,5,4,1,2
"21441",0,1,6,0,0,0,1,3
"21443",0,1,0,0,10,0,0,0
"21444",0,0,0,0,1,0,0,0
"21445",0,6,0,4,3,9,0,3
"21446",0,2,0,5,5,5,0,0
"21447",2,2,2,2,2,2,2,2
"21448",0,0,0,0,0,0,0,0
"21449",7,0,0,2,5,0,5,0
"21450",0,10,0,1,1,1,0,1
"21451",5,5,5,5,5,5,5,5
"21452",8,5,0,6,7,2,7,6
"21453",0,6,5,3,1,6,1,5
"21454",3,6,0,5,0,5,6,5
"21455",5,0,1,0,2,0,3,3
"21456",5,2,0,1,1,0,0,0
"21457",7,2,0,5,0,5,2,1
"21458",4,5,0,4,5,5,3,3
"21459",1,6,1,1,1,8,0,7
