"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"2747",8,2,7,3,2,2
"2748",5,0,9,4,1,0
"2749",9,1,2,5,1,0
"2750",8,1,6,5,6,2
"2751",7,4,10,5,2,2
"2752",7,5,5,6,5,0
"2753",8,5,3,5,7,7
"2755",5,3,7,3,1,1
"2756",7,2,10,3,7,0
"2757",9,3,7,4,0,0
"2758",10,0,2,4,3,5
"2759",8,4,6,9,0,1
"2760",8,4,5,5,9,1
"2761",7,2,2,6,2,2
"2762",7,2,9,4,3,1
"2763",2,8,0,3,3,4
"2764",10,5,8,7,2,2
"2765",9,2,3,1,7,4
"2766",10,4,2,8,3,3
"2768",7,3,10,5,3,2
"2769",9,6,7,5,3,3
"2770",9,3,7,4,2,2
"2771",0,0,0,0,0,8
"2772",6,2,8,4,2,0
"2773",8,2,5,4,4,3
"2774",10,3,6,7,0,0
"2775",7,2,8,1,1,1
"2776",8,4,3,7,5,5
"2777",10,4,8,6,0,2
"2778",6,1,7,1,1,1
"2779",9,8,5,4,3,10
"2782",8,5,6,5,5,5
"2783",6,3,6,3,6,1
"2784",5,5,5,5,5,5
"2785",7,5,5,4,6,6
"2788",4,7,2,6,5,6
"2790",10,1,0,3,0,4
"2791",7,4,5,6,6,3
"2793",4,5,2,5,6,5
"2794",6,6,6,4,6,3
"2795",6,4,5,7,7,4
"2797",7,5,5,5,6,6
"2798",0,6,0,5,5,2
"2799",3,10,0,7,8,9
"2800",5,10,0,5,0,8
"2802",3,10,0,0,0,0
"2803",4,7,1,5,8,9
"2804",2,5,0,0,9,8
"2805",3,6,0,4,4,9
"2806",3,10,0,3,2,6
"2807",3,6,0,2,1,10
"2809",0,9,0,5,0,5
"2810",3,6,0,4,2,8
"2811",3,7,1,4,4,8
"2812",3,5,1,4,7,5
"2813",9,3,5,3,2,4
"2814",3,9,1,6,2,5
"2815",4,9,1,5,4,5
"2816",4,9,0,5,3,6
"2817",5,5,0,3,0,3
"2818",4,9,0,5,4,7
"2819",3,5,0,4,5,8
"2820",6,9,3,8,7,7
"2821",3,6,2,4,3,9
"2822",3,6,0,5,3,8
"2823",3,6,0,4,3,8
"2824",3,7,0,6,7,9
"2825",6,4,0,8,2,4
"2826",2,10,2,2,3,4
"2827",4,7,2,6,5,5
"2828",4,9,2,2,2,2
"2829",3,9,2,3,4,7
"2830",2,10,0,2,3,6
"2831",2,10,0,0,5,6
"2832",4,8,0,4,2,6
"2833",4,7,2,5,4,6
"2834",3,6,2,3,3,5
"2835",4,8,1,5,3,5
"2836",3,7,4,2,1,1
"2837",8,3,4,6,6,0
"2838",3,8,1,4,5,5
"2839",4,8,1,5,5,6
"2840",3,7,1,4,3,6
"2841",3,8,0,3,5,6
"2842",4,7,3,4,4,4
"2843",3,6,0,4,4,8
"2844",4,8,1,3,3,4
"2845",5,8,3,4,3,4
"2846",4,7,3,3,3,3
"2847",2,3,0,5,3,8
"2848",5,7,1,4,4,5
"2849",7,2,5,5,5,5
"2850",4,8,1,6,4,6
"2851",3,8,0,4,5,5
"2852",5,8,0,3,3,7
"2855",4,8,1,4,5,5
"2856",4,7,1,4,3,5
"2857",4,6,2,2,1,4
"2858",3,8,0,3,5,7
"2859",4,7,1,5,4,5
