"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"28675",10,0,0,8,8,2,8,0
"28676",6,4,0,0,0,3,5,5
"28677",8,2,0,9,9,0,0,8
"28678",7,4,0,6,8,0,2,8
"28679",7,2,1,4,4,4,2,8
"28681",6,4,1,2,2,2,9,3
"28682",6,8,2,1,1,2,5,4
"28683",7,5,4,7,5,7,3,8
"28684",5,5,8,3,0,2,0,0
"28685",3,3,0,0,5,0,7,5
"28686",1,8,1,1,1,5,5,1
"28687",8,4,0,6,6,0,0,7
"28688",3,5,1,1,1,3,3,2
"28689",2,1,1,2,2,2,1,2
"28691",7,7,0,0,0,0,0,0
"28692",5,4,0,5,2,6,2,3
"28693",7,5,2,1,3,8,6,2
"28694",5,7,0,4,2,4,5,5
"28695",8,6,0,4,2,0,5,10
"28696",5,0,0,8,8,0,5,5
"28697",0,0,5,5,0,0,0,0
"28698",6,6,1,4,4,4,5,8
"28699",7,7,0,0,0,0,7,7
"28700",0,2,0,0,0,1,0,0
"28701",0,0,0,0,0,0,0,0
"28702",10,5,0,0,0,0,0,0
"28703",6,3,1,4,4,2,3,9
"28704",8,4,1,3,2,2,2,4
"28705",10,8,0,8,7,3,5,8
"28706",0,10,5,0,0,10,5,3
"28707",5,6,0,0,0,5,2,2
"28709",7,5,1,5,8,4,0,7
"28710",5,5,0,0,0,5,0,3
"28711",3,0,5,0,0,6,3,1
"28712",2,2,2,2,2,1,5,2
"28714",5,0,0,6,7,0,0,10
"28715",2,8,3,2,2,1,2,1
"28716",0,0,0,0,0,0,0,0
"28717",4,4,4,7,5,6,6,7
"28718",8,0,0,6,4,4,0,4
"28719",5,4,0,0,0,1,2,5
"28721",2,7,0,0,0,1,5,5
"28722",3,0,8,5,0,5,5,0
"28723",0,0,8,0,0,2,0,0
"28724",10,8,5,7,4,2,1,3
"28725",2,4,5,0,0,0,6,6
"28726",5,5,0,0,0,5,2,7
"28727",2,7,5,3,2,7,3,2
"28728",10,1,1,8,1,1,1,1
"28729",4,5,0,0,0,5,7,7
"28730",3,6,10,5,5,9,4,0
"28734",2,4,8,8,8,4,6,5
"28735",3,3,3,5,3,3,5,0
"28736",2,1,0,0,0,0,0,5
"28737",5,4,0,4,2,6,3,6
"28738",3,5,5,10,10,5,0,7
"28739",0,3,5,5,5,3,6,0
"28741",7,9,5,5,5,7,6,6
"28742",5,7,1,5,3,5,5,3
"28743",7,6,5,4,4,6,5,7
"28744",4,3,0,1,1,3,2,8
"28746",4,0,5,8,8,4,6,7
"28747",0,5,1,2,1,5,5,3
"28748",4,5,5,2,1,8,6,4
"28749",0,0,10,0,4,2,1,6
"28750",3,7,5,5,3,7,2,1
"28751",3,3,0,3,3,1,1,5
"28752",2,4,2,0,0,6,4,3
"28753",7,7,3,4,4,0,0,4
"28754",8,0,0,0,0,2,0,5
"28756",0,0,0,0,0,0,0,0
"28757",3,5,2,3,2,0,4,3
"28758",3,7,0,2,2,7,8,6
