"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H"
"34549",4,5,6,5,6,3,5,4
"34550",6,6,5,4,4,4,4,4
"34554",5,6,6,4,3,2,3,4
"34555",4,5,6,3,7,3,6,5
"34556",5,6,5,5,5,4,5,5
"34557",3,5,7,4,7,2,9,6
"34558",5,6,5,5,6,5,5,5
"34560",3,5,3,4,5,4,5,2
"34561",4,5,5,4,6,3,5,5
"34562",3,7,6,4,5,3,6,5
"34563",4,6,4,3,6,3,6,5
"34564",4,7,6,5,6,2,7,7
"34565",5,10,3,5,7,3,4,3
"34566",2,10,2,4,6,4,2,2
"34567",5,5,4,4,6,5,6,8
"34570",4,10,3,3,6,3,3,3
"34572",3,10,4,4,5,2,3,3
"34573",5,9,5,7,4,1,2,2
"34574",5,6,8,7,4,2,5,3
"34575",3,8,5,6,2,1,4,2
"34576",3,9,5,7,2,1,3,1
"34577",4,7,7,7,2,1,4,2
"34578",1,6,9,7,1,1,4,5
"34579",5,5,10,7,2,1,0,5
"34583",1,1,1,1,1,1,1,1
"34584",5,4,3,4,6,4,4,4
"34585",3,3,2,2,3,1,2,3
"34593",6,7,8,5,5,5,5,5
"34594",6,7,6,7,3,1,4,4
"34595",4,5,4,5,3,1,1,1
"34596",7,10,5,6,4,0,0,3
"34597",5,5,5,5,0,0,0,0
"34598",5,7,5,5,0,0,0,0
"34599",5,7,6,4,0,0,4,4
"34600",6,6,6,6,6,6,6,6
"34601",6,7,4,4,1,1,2,2
"34602",5,6,4,5,4,4,2,5
"34603",8,10,6,7,5,4,4,4
"34604",10,7,5,7,0,0,0,0
"34605",9,7,6,7,5,5,5,5
"34606",6,6,6,6,5,5,6,5
"34607",6,6,6,6,6,6,6,6
"34608",4,9,5,4,3,4,3,4
"34609",4,4,3,4,4,4,4,3
"34610",1,1,0,1,0,1,1,0
"34611",4,3,1,0,0,1,2,1
"34612",5,6,6,7,6,3,4,5
"34614",5,6,7,3,5,4,6,5
"34615",3,4,2,3,3,2,3,3
"34616",6,6,8,6,5,5,5,5
"34618",3,6,6,5,5,5,4,4
"34619",6,6,10,5,4,5,4,5
"34620",5,4,6,5,4,5,5,4
"34621",5,6,4,4,5,3,4,4
"34626",10,4,6,4,6,7,1,1
"34628",0,9,5,5,7,3,2,2
"34635",0,8,7,5,7,5,2,2
"34642",8,4,7,2,5,5,0,2
"34643",6,6,2,6,4,1,6,5
"34650",8,8,8,7,6,5,5,5
"34654",8,8,6,6,4,4,4,4
"34655",8,9,5,5,4,4,4,4
"34657",1,10,1,1,1,1,1,1
"34658",4,5,5,5,4,5,5,5
"34659",2,3,2,3,3,2,3,3
"34660",4,3,3,5,9,4,3,4
"34661",7,5,6,5,5,5,4,4
"34662",4,5,6,5,4,4,5,4
"34663",0,0,0,0,0,0,0,0
"34664",3,2,2,1,2,3,2,2
"34665",2,2,3,10,3,4,2,3
"34666",4,5,5,4,5,4,4,6
"34667",5,7,10,5,4,5,4,4
"34668",7,7,6,5,6,5,5,5
"34669",1,2,3,6,4,3,2,3
"34670",6,9,7,6,5,7,6,6
"34671",6,3,3,10,2,2,2,2
"34673",1,5,4,2,1,1,4,3
"34674",0,3,5,2,1,0,0,0
"34676",0,8,6,0,0,0,4,2
"34677",1,5,5,1,4,0,4,2
"34679",3,5,2,2,2,1,1,1
"34680",1,3,1,1,0,1,1,0
"34681",1,2,1,1,0,1,1,0
"34687",6,7,8,5,6,3,4,6
"34688",10,3,0,5,4,3,2,1
"34689",5,6,4,5,6,2,2,2
"34690",7,4,4,5,3,5,4,3
"34691",4,5,3,4,3,4,4,3
"34692",0,5,3,0,7,0,6,7
"34693",6,7,4,7,7,4,5,4
"34694",5,6,6,5,4,3,4,4
"34695",8,10,6,4,8,4,2,5
"34696",5,6,6,6,5,6,5,5
"34697",6,7,8,7,5,4,6,7
"34698",7,8,6,5,6,7,6,5
"34699",6,6,5,7,6,6,8,7
"34700",6,7,6,7,6,6,8,5
"34701",4,5,6,5,6,5,5,5
"34702",7,10,6,6,5,4,5,4
"34703",8,3,6,6,5,6,9,6
"34704",9,3,6,6,5,5,9,7
"34706",3,7,3,6,1,1,3,2
"34707",3,5,1,5,0,0,0,6
"34708",1,1,1,1,1,1,1,1
"34709",0,10,0,0,0,0,0,0
"34710",0,5,7,4,0,0,2,3
"34711",0,10,0,5,0,0,0,0
"34712",0,10,5,5,7,2,3,0
"34713",2,8,2,4,0,0,2,1
"34716",1,8,1,5,5,1,1,1
"34719",0,10,0,6,0,0,0,0
"34721",0,5,0,8,0,0,0,0
"34722",3,9,5,6,5,3,3,3
"34723",5,7,6,6,4,3,2,1
"34724",6,6,6,5,4,3,3,3
"34725",6,6,6,6,4,4,4,4
"34726",5,6,4,3,2,1,1,1
"34727",6,6,6,6,2,2,2,2
"34728",5,9,7,7,5,3,3,3
"34729",4,4,4,4,0,0,0,0
"34730",4,5,5,5,3,3,1,1
"34731",2,0,2,0,5,4,3,5
"34732",0,4,1,3,2,2,0,0
"34733",3,3,3,2,0,0,5,5
"34735",3,6,4,5,7,6,3,4
"34736",5,7,5,5,6,3,3,3
"34737",5,7,4,5,6,3,3,3
"34738",5,7,5,4,7,3,3,3
"34740",7,5,2,0,2,0,1,0
"34741",0,9,7,5,5,0,0,0
"34742",8,5,3,8,0,1,0,0
"34743",8,6,4,4,4,1,1,1
"34746",4,7,4,5,5,2,4,4
"34748",5,7,5,5,6,3,4,4
"34749",4,7,4,5,7,3,4,4
"34750",2,6,2,3,5,2,2,2
"34752",6,6,5,6,7,7,8,9
"34754",6,5,6,5,7,8,8,8
"34756",5,4,6,6,5,7,8,7
"34758",8,6,6,6,5,5,4,3
"34760",1,6,9,3,7,1,0,0
"34761",3,7,6,6,7,8,6,6
"34762",4,9,6,8,8,5,5,5
"34763",4,9,7,8,8,8,7,7
"34764",4,8,5,5,7,4,4,4
"34765",3,8,7,6,6,8,7,7
"34766",3,8,5,5,6,7,7,7
"34767",3,8,6,8,7,7,7,7
"34768",3,8,5,6,7,8,7,6
"34769",4,9,7,8,8,6,6,6
"34770",3,8,6,7,7,8,7,7
"34771",5,7,5,8,6,6,7,6
"34772",2,7,7,6,7,7,7,6
"34773",5,7,5,6,7,7,6,6
"34774",4,6,6,6,7,7,7,7
"34775",5,7,6,6,6,7,7,6
"34776",3,8,6,6,7,9,6,6
"34777",5,9,7,7,7,9,7,7
"34778",4,8,7,7,7,7,7,7
"34779",5,7,4,6,5,6,7,4
"34780",4,8,5,7,8,7,7,6
"34781",4,9,6,7,7,6,6,6
"34782",2,8,3,10,10,5,2,4
"34783",3,8,5,8,8,6,6,6
"34784",3,8,7,6,9,4,4,4
"34785",2,6,5,7,7,8,8,8
"34786",5,6,6,5,3,5,3,2
"34787",3,5,6,3,3,5,6,5
"34788",6,7,4,4,2,3,3,2
"34794",3,5,6,3,5,5,5,4
"34796",9,6,4,4,5,3,3,3
"34800",4,7,5,4,3,6,4,3
"34801",3,1,3,6,0,0,0,0
"34802",2,2,4,8,0,0,0,0
"34803",2,6,6,2,1,1,1,1
"34804",7,8,2,2,2,1,1,1
"34805",5,7,6,2,7,2,3,3
"34806",2,5,5,3,2,0,1,1
"34807",3,1,3,6,0,0,0,0
"34808",3,3,3,4,0,0,0,0
"34809",5,5,3,3,3,2,2,4
"34810",4,2,2,5,1,1,1,1
"34812",0,0,0,0,0,0,0,0
"34816",0,0,0,0,0,0,0,0
"34818",1,5,2,1,1,1,1,1
"34819",0,7,5,10,7,0,0,0
"34820",2,10,10,1,0,0,0,0
"34821",0,10,8,1,1,0,0,0
"34822",0,10,7,1,0,2,0,0
"34824",0,5,0,0,5,0,0,0
"34825",1,9,9,1,1,1,1,1
"34826",1,5,4,2,6,1,2,2
"34827",5,1,4,4,5,3,3,3
"34828",9,0,0,0,0,0,0,0
"34829",0,0,0,0,0,0,0,0
"34830",10,10,10,0,9,0,0,0
