,A,B,F,G,H,I
v1171,0.0,0.0,0.0,0.0,0.0,
v1172,0.2,0.8,0.1,0.4,0.6,0.2
v1173,0.4,0.6,0.1,0.3,0.5,0.1
v1174,0.9,0.3,0.3,0.3,0.3,0.4
v1175,1.0,0.0,1.0,0.0,0.0,0.0
v1176,0.5,0.5,0.1,0.1,0.1,0.1
v1177,0.1,0.9,0.1,0.1,0.1,0.1
v1178,0.8,0.2,0.5,0.3,0.3,0.6
v1179,0.1,0.8,0.1,0.1,0.1,0.1
v1180,0.2,0.8,0.5,0.9,0.3,0.0
v1181,0.1,1.0,0.2,0.5,0.4,0.2
v1182,0.0,0.0,0.0,0.0,0.0,0.0
v1183,0.4,0.6,0.0,0.4,0.4,0.4
v1184,0.7,0.2,0.7,0.2,0.0,0.3
v1185,0.3,0.3,0.3,0.3,0.0,0.0
v1186,0.9,0.1,0.1,0.1,0.1,0.1
v1187,0.0,0.0,0.0,0.5,0.0,0.0
v1188,1.0,0.0,0.0,0.0,0.0,0.0
v1189,0.0,0.2,0.0,0.5,0.0,0.0
v1190,0.0,0.7,0.0,0.7,0.4,
v1191,0.6,1.0,0.5,0.6,0.2,0.5
v1192,1.0,0.0,0.8,0.0,0.0,0.6
v1193,0.5,0.4,0.5,0.4,0.3,0.5
v1194,0.5,0.5,0.5,0.5,0.5,0.1
v1195,0.0,1.0,0.0,0.0,0.0,0.0
v1196,0.1,0.8,0.1,0.3,0.0,0.0
v1197,0.1,0.6,0.2,0.2,0.0,0.2
v1198,0.2,0.0,0.0,0.0,0.0,0.0
v1199,0.0,0.2,0.0,0.0,0.0,0.0
v1200,0.0,0.9,0.0,0.0,0.0,0.0
v1201,0.9,0.1,0.6,0.2,0.1,0.4
v1202,0.8,0.2,0.7,0.1,1.0,0.2
v1203,1.0,0.2,0.7,0.3,0.0,0.4
v1204,0.4,0.5,0.2,0.5,0.2,0.4
v1205,0.4,0.2,0.3,0.2,0.0,0.0
v1206,0.5,0.2,0.4,0.0,0.0,0.5
v1207,0.0,1.0,0.0,0.2,1.0,0.0
v1208,1.0,0.1,0.8,0.0,0.0,0.0
v1209,0.8,0.3,0.5,0.2,0.0,0.3
v1210,0.0,0.0,0.0,0.0,0.0,0.0
v1211,0.8,0.1,0.1,0.1,0.1,0.1
v1212,0.2,0.8,0.2,0.2,0.2,0.2
v1213,1.0,0.0,1.0,0.0,0.0,0.0
v1214,0.8,0.0,0.5,0.0,0.0,0.8
v1215,0.0,0.6,0.0,0.4,0.0,0.0
v1216,0.8,0.4,0.2,0.2,0.2,0.1
v1217,0.5,0.4,0.3,0.1,0.2,0.1
v1218,0.2,0.3,0.0,0.2,0.8,0.1
v1219,0.0,0.5,0.5,0.5,0.0,0.5
v1220,0.8,0.0,0.8,0.0,0.0,0.8
v1221,0.1,0.1,0.1,0.1,0.1,0.1
v1222,0.1,0.5,0.1,0.1,0.1,0.1
v1223,0.1,0.8,0.1,0.3,0.1,0.1
v1224,0.0,0.8,0.0,0.5,0.4,0.0
v1225,0.6,0.3,0.2,0.4,,
v1226,0.0,0.6,0.3,0.4,0.6,0.2
v1227,1.0,0.2,0.5,0.4,0.2,0.4
v1228,0.0,0.0,0.0,0.0,0.0,0.0
v1229,0.0,0.7,0.1,0.9,0.5,0.5
v1230,0.9,0.2,1.0,0.0,0.0,0.6
v1231,1.0,0.0,0.5,0.0,0.0,0.0
v1232,0.0,1.0,0.0,0.8,0.8,0.0
v1233,1.0,0.0,0.5,0.0,0.0,0.5
v1234,,0.7,0.2,0.3,0.8,
v1235,1.0,0.1,0.5,0.1,0.1,0.3
v1236,1.0,0.4,0.6,0.2,,
v1237,0.0,1.0,0.0,1.0,0.7,0.0
v1238,0.9,0.0,0.5,0.0,0.0,0.0
v1239,0.1,0.4,0.2,0.5,0.0,0.0
v1240,0.5,0.8,0.5,0.4,0.4,0.0
v1241,0.0,0.0,0.0,0.0,0.0,0.0
v1242,0.0,0.2,0.0,0.0,0.0,0.0
v1243,0.8,0.1,0.5,0.2,,
v1244,0.1,0.9,0.1,0.1,0.1,0.1
