"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F"
"12492",10,10,0,5,0,0
"12493",2,5,5,8,6,2
"12494",5,4,7,6,3,3
"12495",4,0,8,3,0,3
"12496",1,2,2,1,5,2
"12497",5,10,10,5,5,5
"12499",8,6,1,0,0,0
"12501",6,8,8,5,3,4
"12502",0,4,7,6,6,6
"12503",5,0,5,10,2,0
"12504",0,8,0,5,5,5
"12505",4,0,5,3,0,2
"12506",5,5,5,5,5,5
"12507",1,1,1,1,1,1
"12508",4,0,7,4,8,5
"12512",8,2,5,6,7,4
"12513",0,0,0,0,0,1
"12514",5,5,10,1,7,7
"12515",0,0,0,0,0,0
"12517",6,5,5,5,6,6
"12518",7,5,4,5,4,2
"12520",6,0,5,7,6,0
"12521",3,5,5,3,4,2
"12522",1,2,4,2,3,5
"12523",8,7,5,8,5,2
"12527",4,8,5,2,2,2
"12528",9,0,0,9,0,0
"12531",0,0,0,0,0,0
"12532",6,7,3,4,3,3
"12534",10,0,9,5,4,2
"12535",3,8,2,0,2,0
"12536",5,3,7,7,3,3
"12538",0,0,2,2,0,0
"12539",6,8,7,8,6,7
"12540",2,3,3,2,2,3
"12541",0,0,6,8,0,6
"12542",8,4,7,10,3,2
"12544",0,0,0,0,3,0
"12548",3,0,5,3,5,5
"12549",1,7,5,9,0,6
"12550",5,7,8,4,3,3
"12555",0,0,0,0,0,0
"12556",5,0,0,9,0,0
"12559",5,0,7,5,5,5
"12560",6,0,8,8,3,4
"12563",0,0,10,0,0,0
"12564",8,5,8,7,5,4
"12565",7,5,10,8,6,5
"12567",1,4,1,1,3,2
"12568",6,2,7,7,5,5
"12569",2,3,2,2,2,2
"12570",2,0,6,0,0,0
"12571",5,1,0,0,0,0
"12572",6,2,7,5,5,5
"12573",2,1,5,1,4,1
"12575",2,2,2,3,5,2
"12576",6,0,8,5,2,2
"12577",6,4,5,2,5,5
"12578",8,3,8,3,3,3
"12583",8,0,5,6,0,0
"12584",5,0,7,6,0,0
"12587",4,2,2,4,1,3
"12590",8,1,6,7,2,1
"12592",5,7,2,4,4,4
"12593",7,6,8,10,6,10
"12594",0,0,0,0,0,0
"12595",10,10,5,10,4,3
"12596",8,5,6,7,2,4
"12597",4,3,3,1,2,1
"12598",5,1,9,7,5,3
"12599",0,0,0,0,5,0
"12601",0,1,3,0,1,1
"12602",2,2,2,1,1,1
"12604",8,3,7,5,4,2
"12605",0,0,0,0,0,0
"12608",6,7,9,6,5,3
"12609",5,6,2,6,4,2
"12610",6,7,6,7,7,6
"12611",3,3,5,5,3,5
"12612",5,7,0,3,5,3
"12613",0,0,0,0,0,0
"12615",10,10,10,0,5,6
"12618",0,0,0,0,0,0
"12619",1,1,1,1,1,1
"12620",10,7,0,6,0,0
"12621",7,7,8,6,6,6
"12622",9,8,7,9,6,8
"12624",0,6,4,0,7,9
"12630",7,5,7,6,4,5
"12634",0,0,0,0,0,0
"12639",10,10,0,0,5,5
"12640",7,6,4,7,4,4
"12641",2,4,2,4,3,1
"12642",6,2,0,5,2,0
"12645",0,0,0,0,0,0
"12646",0,10,0,0,0,0
"12648",9,10,9,8,8,8
"12649",3,0,5,0,1,0
"12650",6,8,6,5,7,7
"12651",0,5,0,0,2,0
"12653",2,0,5,3,5,2
"12654",0,0,0,0,0,0
"12655",2,3,4,2,3,4
"12657",2,5,1,2,6,4
"12658",3,10,5,2,1,3
"12659",9,5,3,8,1,7
"12660",4,2,2,8,2,5
"12661",5,5,2,3,3,1
"12662",5,5,0,3,4,4
"12663",0,2,2,3,2,0
"12665",9,6,4,8,3,2
"12668",7,7,7,6,1,1
"12671",8,5,5,5,1,5
"12672",5,5,8,8,2,2
"12673",8,5,2,2,2,2
"12674",1,2,2,1,1,1
"12676",9,10,8,6,2,3
"12679",5,10,10,10,10,10
"12681",1,3,5,5,7,5
"12682",0,2,8,2,2,2
"12683",2,6,2,4,5,5
"12684",0,0,0,0,0,0
"12685",6,2,9,8,7,5
"12686",0,5,5,0,0,0
"12687",10,10,10,0,0,10
"12688",2,0,9,4,0,0
"12691",4,5,5,4,2,3
"12692",5,5,5,5,5,5
"12693",6,6,7,7,5,4
"12694",5,0,8,0,0,0
"12695",8,0,9,6,4,2
"12696",0,6,5,0,5,0
"12697",9,0,8,0,0,7
"12698",0,4,1,0,0,0
"12701",1,0,0,0,0,0
"12702",3,0,3,2,4,5
"12704",0,10,0,0,0,0
"12705",0,0,2,2,0,0
