"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G","cand_H","cand_I"
"16927",0,5,3,2,3,0,0,0,7
"16928",8,0,0,2,9,10,0,0,0
"16929",7,0,7,5,8,8,6,6,0
"16930",3,0,9,5,7,2,10,6,1
"16931",6,8,7,5,3,2,7,7,0
"16932",5,1,6,6,3,1,8,5,0
"16933",7,3,5,2,8,8,6,3,1
"16935",7,0,5,1,7,6,5,2,0
"16936",7,8,7,7,0,7,1,8,0
"16937",2,0,10,1,1,0,1,1,0
"16938",5,2,5,9,0,3,5,6,2
"16939",1,1,1,1,1,2,1,1,1
"16940",2,0,3,5,7,7,3,7,2
"16942",7,0,6,5,6,4,10,5,0
"16943",2,2,6,2,2,3,4,1,0
"16944",3,0,2,2,7,5,10,0,8
"16945",5,3,3,7,3,5,4,3,1
"16946",7,6,5,6,3,7,6,5,1
"16947",5,10,8,4,0,2,0,7,0
"16948",1,9,2,2,0,1,1,7,3
"16950",5,6,2,2,1,2,0,0,1
"16951",7,3,6,5,9,6,8,5,2
"16952",5,5,5,5,5,5,5,5,5
"16953",6,1,3,4,8,8,5,3,2
"16954",7,3,4,3,4,3,2,0,0
"16955",7,3,9,8,7,4,4,6,3
"16956",8,0,0,6,10,9,3,3,0
"16957",6,4,7,4,8,5,5,4,3
"16958",7,8,8,5,5,3,7,7,5
"16959",0,8,6,7,4,7,3,2,3
"16961",6,6,6,7,6,2,5,6,3
"16962",4,3,5,5,5,6,6,7,5
"16964",8,7,2,2,6,8,5,3,0
"16965",0,0,8,1,2,0,10,4,0
"16966",5,0,7,5,4,2,10,7,0
"16967",10,1,5,4,6,5,5,5,0
"16968",5,6,5,8,5,4,3,8,4
"16969",6,8,5,5,5,7,4,5,1
"16970",6,5,5,8,5,5,3,7,5
"16971",8,0,0,2,8,10,4,4,1
"16973",0,5,4,9,0,0,1,2,3
"16974",0,5,4,7,1,1,2,3,3
"16976",7,4,6,5,6,4,5,6,2
"16977",2,1,10,9,6,2,5,5,3
"16978",0,7,5,5,0,0,3,8,2
"16979",8,0,6,0,7,10,1,1,0
"16981",1,2,1,2,1,1,1,2,0
"16983",8,7,6,5,6,6,5,5,1
"16984",6,2,3,1,5,8,0,0,0
"16985",5,1,2,3,8,8,3,2,2
"16986",1,0,0,1,1,1,0,0,0
"16987",7,0,0,2,7,10,5,0,0
"16989",5,0,5,0,3,2,2,0,3
"16990",3,9,3,4,0,1,3,4,2
"16991",8,0,3,6,9,7,6,4,2
"16992",6,6,8,6,8,6,7,6,5
"16993",5,0,4,0,0,2,4,3,1
"16995",9,9,0,6,7,5,4,3,2
"16996",8,5,5,5,6,8,4,5,2
"16997",5,5,5,5,5,5,5,5,5
"16998",5,5,5,5,0,5,5,5,5
"16999",7,6,3,6,5,6,3,3,2
"17001",7,1,2,2,7,10,3,3,0
"17004",5,6,5,5,6,3,3,6,3
"17006",2,10,1,1,0,7,7,5,6
"17007",5,0,7,5,5,0,8,3,0
"17008",5,5,5,5,5,5,5,2,5
"17009",7,7,3,3,7,6,0,7,5
"17010",7,0,3,3,10,10,8,0,0
"17011",9,1,4,5,5,6,6,2,1
"17012",6,1,4,1,5,3,3,2,2
"17013",8,0,0,2,10,10,4,0,0
"17014",5,5,2,7,1,4,2,8,5
"17015",6,3,9,2,8,2,4,0,1
"17019",7,2,7,3,3,3,5,6,4
"17020",5,2,8,5,4,3,5,6,5
"17021",7,7,9,8,8,5,7,8,6
"17022",6,5,2,3,3,2,1,1,3
"17023",2,10,2,0,0,0,0,0,0
"17024",5,8,5,8,8,8,8,10,0
"17025",10,5,1,0,10,10,10,10,0
"17026",8,2,4,6,8,4,4,2,2
"17027",6,7,3,3,7,2,5,5,3
"17028",2,0,0,0,4,10,0,0,0
"17029",2,8,2,2,8,7,4,4,3
"17030",4,7,9,8,0,0,3,10,8
"17031",8,0,0,1,9,10,5,0,0
"17033",6,7,4,5,5,4,6,7,2
"17034",5,0,8,2,5,3,10,5,1
"17035",5,4,5,4,4,4,2,4,1
"17036",9,3,4,4,4,3,2,4,1
"17037",7,0,7,7,7,5,0,7,0
"17038",4,1,7,9,7,5,3,4,2
"17039",0,7,10,8,5,5,7,1,0
"17040",6,0,0,5,0,4,4,8,5
"17041",6,8,2,2,8,8,8,2,0
"17044",9,0,0,4,2,10,4,5,0
"17045",6,0,0,8,0,2,5,0,0
"17047",2,8,8,5,8,5,1,3,2
"17048",5,4,8,9,6,0,2,5,0
"17050",2,9,2,7,0,0,3,2,0
"17051",8,8,6,7,3,6,4,8,4
"17052",8,8,0,0,3,8,3,3,0
"17053",7,0,0,0,9,10,2,0,0
"17054",0,1,1,0,0,0,0,0,0
"17055",7,0,1,6,8,10,5,2,0
"17056",2,0,10,3,8,0,8,8,0
"17058",2,0,0,3,0,4,7,3,0
"17059",2,1,2,2,3,4,0,2,2
"17060",7,7,8,4,6,3,9,3,8
"17061",8,5,0,5,9,6,0,0,0
"17062",7,5,8,8,8,6,8,8,8
"17063",0,3,1,4,5,1,3,4,1
"17064",4,2,2,3,2,2,0,2,1
"17066",6,9,4,6,3,2,6,6,0
"17068",6,10,0,0,2,7,0,0,0
"17070",8,0,0,2,10,10,8,0,0
"17071",4,3,2,5,3,4,5,6,2
"17072",6,0,6,0,8,5,1,1,0
"17073",5,6,4,5,7,6,8,7,2
"17074",7,1,8,6,7,5,8,7,1
"17075",2,8,3,4,2,2,4,6,4
"17076",1,10,2,8,7,2,0,3,1
"17077",5,2,10,5,9,5,0,0,0
"17078",8,4,2,5,6,9,5,2,0
"17080",5,7,5,5,3,2,2,5,0
"17081",6,0,2,3,8,8,5,3,0
"17082",8,3,3,6,6,10,5,4,0
"17083",3,8,8,7,5,9,5,6,5
"17084",8,1,1,5,8,10,5,3,1
"17086",2,1,0,7,0,1,5,8,0
"17087",7,0,8,8,7,7,7,0,5
"17088",5,7,2,4,3,3,2,5,0
"17089",8,8,7,7,3,5,4,3,2
"17091",7,10,1,4,4,3,2,3,6
"17092",0,10,0,0,0,0,0,0,0
"17093",6,0,0,3,6,7,2,0,0
"17095",5,8,7,4,3,2,0,1,2
"17097",8,0,4,7,9,9,5,10,2
"17098",7,2,6,5,7,5,2,2,3
"17099",3,7,1,4,4,9,3,4,0
"17101",3,5,4,4,1,1,1,0,1
"17102",0,0,8,7,8,0,2,0,0
"17103",8,0,4,7,10,9,5,6,0
"17104",8,0,8,8,7,7,7,7,0
"17106",1,4,1,1,0,0,0,2,2
"17107",3,3,1,4,6,10,2,0,1
"17108",10,7,0,0,4,0,0,5,1
"17109",5,6,6,5,5,5,5,5,5
"17110",8,6,2,6,4,4,2,6,6
"17111",5,4,1,2,7,7,6,3,2
"17112",8,3,4,3,4,5,6,4,2
"17113",5,5,5,5,5,5,5,5,5
"17114",6,1,5,4,9,10,7,6,0
"17115",3,7,5,3,7,7,3,3,0
"17116",0,0,0,0,7,7,5,5,0
"17117",0,3,2,6,6,5,4,5,1
"17118",8,9,6,7,7,3,8,8,0
"17119",5,10,8,0,5,0,0,8,5
"17120",0,6,5,5,0,0,5,8,4
"17121",5,5,7,4,4,3,1,1,4
"17122",0,5,5,0,9,2,2,2,2
"17123",3,8,8,3,5,5,5,5,5
"17124",4,5,8,7,4,2,7,7,8
"17128",8,0,2,2,9,10,4,0,0
"17129",8,7,0,1,5,3,3,3,5
"17130",7,5,3,2,3,3,2,2,3
"17132",4,8,2,7,3,4,2,5,1
"17133",8,0,0,1,7,10,3,0,0
"17134",0,3,0,0,3,4,0,1,0
"17135",7,3,0,0,5,5,4,4,0
"17136",2,8,2,1,4,4,2,3,6
"17137",5,5,5,5,5,5,5,6,5
"17138",2,7,3,8,4,1,5,9,6
"17139",10,0,0,6,0,8,0,0,0
"17140",2,8,8,5,1,1,0,1,5
"17141",1,10,2,6,5,0,0,3,0
"17142",5,0,5,0,0,7,0,0,0
"17143",7,2,5,5,9,7,9,7,5
"17144",9,3,5,5,7,6,8,3,3
"17145",6,0,5,5,8,5,9,5,0
"17146",7,7,2,5,9,3,5,2,5
"17147",4,6,4,5,4,3,4,2,4
"17148",0,10,0,5,8,1,1,8,0
"17149",3,4,7,9,3,0,5,10,7
"17150",3,0,0,0,6,6,0,1,0
"17154",4,9,5,8,0,0,4,10,8
"17156",3,3,0,0,0,0,0,3,0
"17157",3,2,8,5,2,1,5,6,5
"17158",3,9,1,2,1,4,5,3,0
"17160",8,0,8,6,10,7,7,5,1
"17162",8,7,0,6,5,4,7,7,0
"17164",2,2,1,0,1,1,1,1,1
"17165",7,2,3,1,8,5,5,4,1
"17166",4,6,8,7,6,4,5,5,5
"17167",6,2,7,8,8,4,4,3,5
"17168",2,6,7,8,4,2,1,1,7
"17169",9,0,5,4,9,9,7,5,0
"17170",8,7,5,4,5,4,3,9,4
"17172",7,0,2,2,7,10,3,3,0
"17173",0,6,6,7,0,7,0,0,5
"17174",5,9,4,3,1,1,0,6,0
"17175",3,10,2,3,1,1,0,1,0
"17176",5,10,2,2,8,5,1,1,6
"17177",6,4,6,10,5,6,6,8,8
"17178",7,4,7,6,7,7,5,5,5
"17179",1,0,1,1,0,0,1,0,0
"17180",5,4,5,9,3,3,4,7,6
"17181",5,5,5,5,5,5,5,5,5
"17182",0,2,5,10,4,0,5,4,0
"17183",0,0,0,0,6,0,4,4,0
"17184",6,2,3,6,7,6,2,6,3
"17185",7,1,6,5,9,9,7,1,0
"17186",6,5,7,6,8,6,3,3,4
"17187",6,4,4,3,7,8,7,7,4
"17188",9,1,4,8,8,6,3,5,6
"17190",1,2,2,1,2,4,7,7,0
"17191",6,4,4,5,5,5,6,6,4
"17192",8,5,3,3,8,5,4,10,5
"17194",0,0,7,7,1,0,2,5,6
"17195",8,0,5,1,8,9,5,0,0
"17196",5,3,5,5,6,3,2,5,5
"17198",8,3,5,5,6,7,7,5,0
"17199",9,7,3,9,2,1,6,4,8
"17200",9,0,2,7,7,7,2,8,0
"17201",2,8,9,5,4,1,6,9,5
"17202",3,7,0,0,4,5,1,0,0
"17204",0,5,0,6,6,0,5,6,0
"17205",5,7,7,6,0,4,5,6,7
"17206",4,3,4,4,9,9,6,7,3
"17207",2,7,2,3,2,2,2,3,2
"17208",1,6,6,8,1,1,4,3,1
"17209",3,8,5,8,0,0,0,0,0
"17210",9,8,9,9,9,9,9,9,8
"17211",4,3,3,1,8,5,1,0,0
"17214",5,6,7,6,6,2,2,6,6
"17217",7,0,6,4,6,5,9,7,0
"17218",7,1,6,4,7,6,8,7,0
"17219",5,0,5,4,10,3,10,1,3
"17220",7,0,9,3,7,6,7,6,0
"17221",7,0,4,2,10,10,7,5,1
"17222",6,1,8,1,6,1,5,6,1
"17223",9,1,7,6,9,8,10,6,0
"17224",8,7,3,3,5,8,3,7,0
"17225",7,0,3,7,8,2,2,2,0
