"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"13579",2,5,1,3,8,8,2
"13580",8,6,1,5,1,8,7
"13581",0,0,10,0,5,0,0
"13582",0,0,0,0,10,0,0
"13583",1,3,8,2,0,3,5
"13584",7,8,0,3,7,7,7
"13585",10,7,0,9,8,7,9
"13586",2,7,3,6,7,7,3
"13587",0,10,0,2,0,0,1
"13588",8,10,0,6,0,8,8
"13589",9,8,0,5,0,0,10
"13590",5,7,0,6,7,7,0
"13591",8,9,0,9,3,7,5
"13592",8,8,3,7,4,7,5
"13593",5,9,0,6,9,7,3
"13594",8,8,2,7,6,7,6
"13595",10,10,10,10,10,10,9
"13596",1,0,7,6,0,0,2
"13597",10,3,0,3,0,6,8
"13598",8,8,0,6,5,7,2
"13599",5,7,0,6,8,8,4
"13600",9,8,1,5,5,8,7
"13601",4,8,0,5,0,5,4
"13602",5,8,0,3,7,8,1
"13603",9,8,0,6,2,6,7
"13604",4,8,0,5,4,5,4
"13605",0,8,6,2,5,0,0
"13606",8,4,0,5,5,9,4
"13607",8,9,0,0,1,6,7
"13608",8,9,0,6,6,6,8
"13609",5,10,0,6,4,6,6
"13610",3,4,4,8,3,5,8
"13611",7,7,0,5,5,9,4
"13612",9,9,0,10,5,9,6
"13613",8,8,0,6,10,9,6
"13614",6,6,0,6,4,7,4
"13615",9,7,0,7,5,5,8
"13617",7,5,0,0,5,7,5
"13618",8,8,0,8,6,8,2
"13619",7,7,0,10,1,6,7
"13620",10,7,0,6,6,8,8
"13621",9,6,2,7,1,7,8
"13623",3,8,0,8,7,8,0
"13624",9,6,0,6,0,6,8
"13625",8,10,6,6,6,6,10
"13626",9,9,1,8,6,7,9
"13627",9,8,0,7,4,7,3
"13628",5,1,0,6,0,0,8
"13629",5,6,5,5,5,5,5
"13630",9,6,0,7,3,8,3
"13631",6,8,1,4,1,4,4
"13632",8,5,0,10,0,4,5
"13633",5,9,0,0,9,8,0
"13634",8,9,0,7,6,8,5
"13635",2,9,0,4,10,8,0
"13636",6,9,0,3,6,4,5
"13637",8,2,5,7,8,3,10
"13638",6,7,0,7,5,6,5
"13639",6,8,1,9,9,5,6
"13640",6,3,8,6,3,4,8
"13641",8,8,0,7,7,5,6
"13642",9,5,3,8,8,4,7
"13643",7,4,0,7,0,4,5
"13644",4,9,0,3,6,8,0
"13645",7,7,0,3,6,8,2
"13646",9,9,0,8,0,0,8
"13647",6,9,0,2,8,5,6
"13648",9,10,0,8,0,8,9
"13649",9,7,1,9,4,4,7
"13650",10,6,0,8,2,5,10
"13651",5,5,5,5,5,5,5
"13653",8,6,0,7,3,5,8
"13654",2,2,10,5,2,2,1
"13655",9,9,0,7,2,8,6
"13656",8,7,0,7,5,5,8
"13658",0,9,0,5,0,5,0
"13659",4,1,6,5,0,0,5
"13660",6,7,4,5,9,9,6
"13661",9,2,2,9,3,2,7
"13662",7,5,3,5,3,3,6
"13663",9,7,0,1,1,2,3
"13664",8,7,0,10,7,4,3
