"","cand_A","cand_B","cand_C","cand_D","cand_E","cand_F","cand_G"
"45470",5,0,5,0,10,5,3
"45471",2,0,5,2,2,4,0
"45472",0,6,0,10,0,0,0
"45473",5,0,5,0,0,5,0
"45474",1,3,3,10,2,1,3
"45475",2,3,4,1,2,2,4
"45477",5,5,5,5,5,5,5
"45478",7,8,4,6,4,4,5
"45479",10,0,7,3,2,6,3
"45480",10,0,8,0,3,6,6
"45481",1,8,2,0,0,1,0
"45482",0,6,4,10,2,0,0
"45484",2,7,5,2,2,2,2
"45485",5,7,3,0,3,2,3
"45487",9,0,8,0,0,8,6
"45488",10,2,9,5,5,7,7
"45489",2,3,1,1,2,2,4
"45490",5,5,5,5,5,5,5
"45491",5,5,6,6,1,2,1
"45492",2,8,6,5,1,4,2
"45493",5,5,5,5,5,5,5
"45494",5,6,6,1,5,5,3
"45495",5,8,5,4,5,5,5
"45496",5,5,5,1,5,5,5
"45497",5,1,4,0,6,5,6
"45498",6,5,6,5,5,6,5
"45499",3,0,3,0,3,4,3
"45500",2,3,5,1,4,4,1
"45501",10,0,0,0,0,0,10
"45502",8,0,9,0,7,3,3
"45503",7,5,7,6,1,7,1
"45504",1,2,1,1,0,2,1
"45505",4,3,5,2,3,7,1
"45506",1,10,1,4,1,1,1
"45507",2,9,5,9,2,2,5
"45508",8,1,9,0,10,9,7
"45509",4,4,9,5,1,3,2
"45510",0,3,6,3,0,1,0
"45511",2,3,4,4,1,4,1
"45512",4,7,4,1,4,4,4
"45513",5,2,5,0,5,5,5
"45514",10,0,7,0,0,1,2
"45515",7,7,6,0,5,4,2
"45516",0,8,8,0,0,8,0
"45517",3,0,0,0,0,5,0
"45518",0,8,0,6,3,1,0
"45520",10,3,8,1,5,8,8
"45521",0,10,0,7,4,0,0
"45522",1,1,1,3,10,4,3
"45523",8,3,3,3,4,7,4
"45524",5,1,6,4,1,3,1
"45525",2,9,2,2,2,0,2
"45526",6,0,6,2,10,5,4
"45528",3,0,0,0,5,2,8
"45530",0,0,0,0,0,5,0
"45531",3,0,3,0,10,8,8
"45532",5,5,5,5,5,5,5
"45533",7,4,7,0,7,7,7
"45534",10,0,6,2,2,3,3
"45535",2,8,3,2,1,1,1
"45536",2,0,8,2,0,5,2
"45537",3,2,2,1,1,1,2
"45538",4,0,5,0,1,6,5
"45539",6,0,3,0,0,9,3
"45540",0,5,0,5,0,8,0
"45541",5,0,3,1,2,4,1
"45542",0,5,3,5,0,0,0
"45543",1,2,2,9,2,2,0
"45544",0,8,0,5,0,0,0
"45545",8,5,8,3,0,5,0
"45546",2,0,1,0,0,0,0
"45547",0,9,3,1,2,4,3
"45548",0,5,2,10,0,0,0
"45550",9,1,0,0,0,0,3
"45551",3,0,9,0,4,6,1
"45552",9,2,6,1,2,2,6
"45553",0,10,0,8,4,0,0
"45554",2,8,5,5,1,4,7
"45555",5,2,4,1,9,5,0
"45556",10,4,5,0,0,0,0
"45557",10,1,10,1,1,1,2
"45558",8,0,5,5,3,3,0
"45559",2,1,5,3,1,5,3
"45560",6,0,2,0,4,8,2
"45561",0,0,6,0,0,0,0
"45562",7,0,7,0,1,7,9
"45563",9,0,9,0,0,8,8
"45564",9,0,3,0,8,8,6
